Année;Niveau;Type;Ancien Code Officiel;Code Courant Officiel
2025;COM;commune;66142;66142
2025;COM;commune;88364;88364
2025;COM;commune;32461;32461
2025;COM;commune;72160;72160
2025;COM;commune;34092;34092
2025;COM;commune;02178;02178
2025;COM;commune;62633;62633
2025;COM;commune;68011;68011
2025;COM;commune;85093;85093
2025;COM;commune;12192;12192
2025;COM;commune;34269;34269
2025;COM;commune;46042;46042
2025;COM;commune;28304;28304
2025;COM;commune;70501;70501
2025;COM;commune;52190;52190
2025;COM;commune;46002;46002
2025;COM;commune;67281;67281
2025;COM;commune;11226;11226
2025;COM;commune;33290;33290
2025;COM;commune;51208;51208
2025;COM;commune;49060;49060
2025;COM;commune;01007;01007
2025;COM;commune;76540;76540
2025;COM;commune;72065;72065
2025;COM;commune;15081;15081
2025;COM;commune;01192;01192
2025;COM;commune;71303;71303
2025;COM;commune;62849;62849
2025;COM;commune;77192;77192
2025;COM;commune;58231;58231
2025;COM;commune;57751;57751
2025;COM;commune;27610;27610
2025;COM;commune;42203;42203
2025;COM;commune;62472;62472
2025;COM;commune;71009;71009
2025;COM;commune;11012;11012
2025;COM;commune;09208;09208
2025;COM;commune;30087;30087
2025;COM;commune;89245;89245
2025;COM;commune;88042;88042
2025;COM;commune;58065;58065
2025;COM;commune;70269;70269
2025;COM;commune;59459;59459
2025;COM;commune;85160;85160
2025;COM;commune;16358;16358
2025;COM;commune;72375;72375
2025;COM;commune;34322;34322
2025;COM;commune;72068;72068
2025;COM;commune;56258;56258
2025;COM;commune;62015;62015
2025;COM;commune;02508;02508
2025;COM;commune;62847;62847
2025;COM;commune;71210;71210
2025;COM;commune;89335;89335
2025;COM;commune;62545;62545
2025;DEP;département;09;09
2025;COM;commune;57365;57365
2025;COM;commune;45292;45292
2025;COM;commune;61071;61071
2025;COM;commune;79075;79179
2025;COM;commune;12249;12249
2025;COM;commune;51120;51120
2025;COM;commune;36118;36118
2025;COM;commune;16271;16271
2025;COM;commune;46126;46126
2025;COM;commune;89120;89120
2025;COM;commune;36028;36028
2025;COM;commune;27587;27587
2025;COM;commune;85019;85019
2025;COM;commune;58054;58054
2025;COM;commune;67326;67326
2025;COM;commune;77235;77235
2025;COM;commune;46151;46151
2025;COM;commune;45065;45065
2025;COM;commune;61382;61382
2025;COM;commune;21695;21695
2025;COM;commune;71452;71452
2025;COM;commune;70056;70056
2025;COM;commune;10122;10122
2025;COM;commune;07083;07083
2025;COM;commune;65308;65308
2025;COM;commune;65061;65061
2025;COM;commune;41222;41222
