codgeo,YEAR,Demandeurs_Emploi
54578,janvier_2020,890
54390,janvier_2020,1540
54431,janvier_2020,1540
54328,janvier_2020,390
54273,janvier_2020,730
55029,janvier_2020,1580
55545,janvier_2020,2030
55122,janvier_2020,790
56260,janvier_2020,5640
56121,janvier_2020,6890
56010,janvier_2020,540
56143,janvier_2020,390
56184,janvier_2020,630
56166,janvier_2020,440
56053,janvier_2020,570
56107,janvier_2020,580
56162,janvier_2020,1290
56178,janvier_2020,1400
56177,janvier_2020,720
56240,janvier_2020,690
56075,janvier_2020,440
56067,janvier_2020,370
56176,janvier_2020,610
56023,janvier_2020,600
56007,janvier_2020,1590
56101,janvier_2020,650
56251,janvier_2020,650
56248,janvier_2020,350
56078,janvier_2020,900
56185,janvier_2020,580
56098,janvier_2020,2400
56003,janvier_2020,340
56090,janvier_2020,550
56193,janvier_2020,550
56169,janvier_2020,400
56094,janvier_2020,500
56083,janvier_2020,1520
56165,janvier_2020,850
56036,janvier_2020,550
56243,janvier_2020,760
56164,janvier_2020,580
56158,janvier_2020,570
56206,janvier_2020,980
57463,janvier_2020,13900
57672,janvier_2020,3950
57757,janvier_2020,1450
57591,janvier_2020,1080
57751,janvier_2020,2030
57160,janvier_2020,1510
57447,janvier_2020,550
57480,janvier_2020,2310
57443,janvier_2020,510
57487,janvier_2020,440
57666,janvier_2020,630
57221,janvier_2020,1240
57631,janvier_2020,2340
57433,janvier_2020,1130
57097,janvier_2020,430
57089,janvier_2020,440
57306,janvier_2020,1680
57491,janvier_2020,900
57683,janvier_2020,820
57206,janvier_2020,1550
57474,janvier_2020,560
57283,janvier_2020,930
57269,janvier_2020,710
57323,janvier_2020,420
57660,janvier_2020,1350
57019,janvier_2020,1120
57209,janvier_2020,520
57038,janvier_2020,440
57630,janvier_2020,1310
57012,janvier_2020,690
57207,janvier_2020,790
57058,janvier_2020,990
57332,janvier_2020,680
57336,janvier_2020,640
57606,janvier_2020,1840
57663,janvier_2020,800
57537,janvier_2020,710
57227,janvier_2020,3050
57240,janvier_2020,1630
57240,janvier_2020,1630
58194,janvier_2020,3140
